_pd_block_id	_refln_index_h	_refln_index_k	_refln_index_l	_pd_refln_phase_id	_refln_d_spacing	_diffrn_radiation_wavelength
pattern_0	0	0	6	1	2.165394	0.8257653
pattern_0	0	0	12	1	1.082697	0.8257653
pattern_0	1	0	-14	1	0.905361	0.8257653
pattern_0	1	0	-8	1	1.510981	0.8257653
pattern_0	1	0	-2	1	3.480268	0.8257653
pattern_0	1	0	4	1	2.551134	0.8257653
pattern_0	1	0	10	1	1.239131	0.8257653
pattern_0	1	0	16	1	0.796708	0.8257653
pattern_0	2	-1	0	1	2.379648	0.8257653
pattern_0	2	-1	3	1	2.085550	0.8257653
pattern_0	2	-1	6	1	1.601566	0.8257653
pattern_0	2	-1	9	1	1.234242	0.8257653
pattern_0	2	-1	12	1	0.985489	0.8257653
pattern_0	2	-1	15	1	0.813918	0.8257653
pattern_0	2	0	-10	1	1.099054	0.8257653
pattern_0	2	0	-4	1	1.740134	0.8257653
pattern_0	2	0	2	1	1.964358	0.8257653
pattern_0	2	0	8	1	1.275567	0.8257653
pattern_0	2	0	14	1	0.846187	0.8257653
pattern_0	3	-1	-14	1	0.797280	0.8257653
pattern_0	3	-1	-11	1	0.941192	0.8257653
pattern_0	3	-1	-8	1	1.124238	0.8257653
pattern_0	3	-1	-5	1	1.336122	0.8257653
pattern_0	3	-1	-2	1	1.514895	0.8257653
pattern_0	3	-1	1	1	1.546766	0.8257653
pattern_0	3	-1	4	1	1.404642	0.8257653
pattern_0	3	-1	7	1	1.193242	0.8257653
pattern_0	3	-1	10	1	0.997776	0.8257653
pattern_0	3	-1	13	1	0.841190	0.8257653
pattern_0	3	0	-12	1	0.850378	0.8257653
pattern_0	3	0	-6	1	1.160089	0.8257653
pattern_0	3	0	0	1	1.373891	0.8257653
pattern_0	3	0	6	1	1.160089	0.8257653
pattern_0	3	0	12	1	0.850378	0.8257653
pattern_0	4	-2	0	1	1.189824	0.8257653
pattern_0	4	-2	3	1	1.147312	0.8257653
pattern_0	4	-2	6	1	1.042775	0.8257653
pattern_0	4	-2	9	1	0.918155	0.8257653
pattern_0	4	-2	12	1	0.800783	0.8257653
pattern_0	4	-1	-10	1	0.858235	0.8257653
pattern_0	4	-1	-7	1	0.973345	0.8257653
pattern_0	4	-1	-4	1	1.078313	0.8257653
pattern_0	4	-1	-1	1	1.138747	0.8257653
pattern_0	4	-1	2	1	1.125847	0.8257653
pattern_0	4	-1	5	1	1.046366	0.8257653
pattern_0	4	-1	8	1	0.934791	0.8257653
pattern_0	4	-1	11	1	0.821424	0.8257653
pattern_0	4	0	-8	1	0.870067	0.8257653
pattern_0	4	0	-2	1	1.017695	0.8257653
pattern_0	4	0	4	1	0.982179	0.8257653
pattern_0	4	0	10	1	0.807333	0.8257653
pattern_0	5	-2	-8	1	0.817159	0.8257653
pattern_0	5	-2	-5	1	0.888572	0.8257653
pattern_0	5	-2	-2	1	0.935716	0.8257653
pattern_0	5	-2	1	1	0.943082	0.8257653
pattern_0	5	-2	4	1	0.907887	0.8257653
pattern_0	5	-2	7	1	0.842538	0.8257653
pattern_0	5	-2	10	1	0.764532	0.8257653
pattern_0	5	-1	-9	1	0.763379	0.8257653
pattern_0	5	-1	-6	1	0.830620	0.8257653
pattern_0	5	-1	-3	1	0.880632	0.8257653
pattern_0	5	-1	0	1	0.899422	0.8257653
pattern_0	5	-1	3	1	0.880632	0.8257653
pattern_0	5	-1	6	1	0.830620	0.8257653
pattern_0	5	-1	9	1	0.763379	0.8257653
pattern_0	5	0	-4	1	0.799004	0.8257653
pattern_0	5	0	2	1	0.817777	0.8257653
pattern_0	6	-3	0	1	0.793216	0.8257653
pattern_0	6	-3	3	1	0.780237	0.8257653
pattern_0	6	-2	-1	1	0.777527	0.8257653
pattern_0	6	-2	2	1	0.773383	0.8257653
pattern_0	1	1	1	2	3.135604	0.8257653
pattern_0	2	2	0	2	1.920157	0.8257653
pattern_0	2	2	2	2	1.567802	0.8257653
pattern_0	3	1	1	2	1.637516	0.8257653
pattern_0	3	3	1	2	1.245963	0.8257653
pattern_0	3	3	3	2	1.045201	0.8257653
pattern_0	4	0	0	2	1.357756	0.8257653
pattern_0	4	2	2	2	1.108603	0.8257653
pattern_0	4	4	0	2	0.960079	0.8257653
pattern_0	4	4	2	2	0.905171	0.8257653
pattern_0	4	4	4	2	0.783901	0.8257653
pattern_0	5	1	1	2	1.045201	0.8257653
pattern_0	5	3	1	2	0.918011	0.8257653
pattern_0	5	3	3	2	0.828224	0.8257653
pattern_0	6	2	0	2	0.858720	0.8257653
pattern_0	6	2	2	2	0.818758	0.8257653
pattern_1	0	0	6	1	2.165675	0.8257653
pattern_1	0	0	12	1	1.082838	0.8257653
pattern_1	1	0	-14	1	0.905477	0.8257653
pattern_1	1	0	-8	1	1.511173	0.8257653
pattern_1	1	0	-2	1	3.480664	0.8257653
pattern_1	1	0	4	1	2.551443	0.8257653
pattern_1	1	0	10	1	1.239290	0.8257653
pattern_1	1	0	16	1	0.796811	0.8257653
pattern_1	2	-1	0	1	2.379904	0.8257653
pattern_1	2	-1	3	1	2.085785	0.8257653
pattern_1	2	-1	6	1	1.601757	0.8257653
pattern_1	2	-1	9	1	1.234394	0.8257653
pattern_1	2	-1	12	1	0.985613	0.8257653
pattern_1	2	-1	15	1	0.814021	0.8257653
pattern_1	2	0	-10	1	1.099190	0.8257653
pattern_1	2	0	-4	1	1.740332	0.8257653
pattern_1	2	0	2	1	1.964573	0.8257653
pattern_1	2	0	8	1	1.275721	0.8257653
pattern_1	2	0	14	1	0.846294	0.8257653
pattern_1	3	-1	-14	1	0.797379	0.8257653
pattern_1	3	-1	-11	1	0.941306	0.8257653
pattern_1	3	-1	-8	1	1.124371	0.8257653
pattern_1	3	-1	-5	1	1.336274	0.8257653
pattern_1	3	-1	-2	1	1.515059	0.8257653
pattern_1	3	-1	1	1	1.546933	0.8257653
pattern_1	3	-1	4	1	1.404799	0.8257653
pattern_1	3	-1	7	1	1.193381	0.8257653
pattern_1	3	-1	10	1	0.997896	0.8257653
pattern_1	3	-1	13	1	0.841294	0.8257653
pattern_1	3	0	-12	1	0.850481	0.8257653
pattern_1	3	0	-6	1	1.160221	0.8257653
