_pd_block_id	_diffrn_radiation_wavelength	_diffrn_ambient_temperature
pattern_0	0.8257653	30.00
pattern_1	0.8257653	50.00
pattern_2	0.8257653	70.00
pattern_3	0.8257653	90.00
pattern_4	0.8257653	110.00
pattern_5	0.8257653	130.00
pattern_6	0.8257653	150.00
pattern_7	0.8257653	170.00
pattern_8	0.8257653	190.00
pattern_9	0.8257653	210.00
pattern_10	0.8257653	230.00
pattern_11	0.8257653	250.00
pattern_12	0.8257653	270.00
pattern_13	0.8257653	290.00
pattern_14	0.8257653	310.00
pattern_15	0.8257653	330.00
pattern_16	0.8257653	350.00
pattern_17	0.8257653	370.00
pattern_18	0.8257653	400.00
pattern_19	0.8257653	450.00
pattern_20	0.8257653	500.00
pattern_21	0.8257653	550.00
pattern_22	0.8257653	600.00
pattern_23	0.8257653	650.00
pattern_24	0.8257653	700.00
pattern_25	0.8257653	750.00
pattern_26	0.8257653	800.00
pattern_27	0.8257653	850.00
pattern_28	0.8257653	900.00
pattern_29	0.8257653	950.00
