_pd_block_id	_pd_phase_id	_pd_phase_block_id	_pd_phase_mass_%
pattern_0	1	Al2O3_0	71.8628
pattern_0	2	Si_0	28.1372
pattern_1	1	Al2O3_1	72.1170
pattern_1	2	Si_1	27.8830
pattern_2	1	Al2O3_2	71.9301
pattern_2	2	Si_2	28.0699
pattern_3	1	Al2O3_3	71.8583
pattern_3	2	Si_3	28.1417
pattern_4	1	Al2O3_4	72.1260
pattern_4	2	Si_4	27.8740
pattern_5	1	Al2O3_5	72.0188
pattern_5	2	Si_5	27.9812
pattern_6	1	Al2O3_6	71.9212
pattern_6	2	Si_6	28.0788
pattern_7	1	Al2O3_7	71.8444
pattern_7	2	Si_7	28.1556
pattern_8	1	Al2O3_8	71.8780
pattern_8	2	Si_8	28.1220
pattern_9	1	Al2O3_9	71.8642
pattern_9	2	Si_9	28.1358
pattern_10	1	Al2O3_10	72.1396
pattern_10	2	Si_10	27.8604
pattern_11	1	Al2O3_11	71.6520
pattern_11	2	Si_11	28.3480
pattern_12	1	Al2O3_12	71.8372
pattern_12	2	Si_12	28.1628
pattern_13	1	Al2O3_13	72.0759
pattern_13	2	Si_13	27.9241
pattern_14	1	Al2O3_14	71.8531
pattern_14	2	Si_14	28.1469
pattern_15	1	Al2O3_15	72.0100
pattern_15	2	Si_15	27.9900
pattern_16	1	Al2O3_16	71.9950
pattern_16	2	Si_16	28.0050
pattern_17	1	Al2O3_17	72.2188
pattern_17	2	Si_17	27.7812
pattern_18	1	Al2O3_18	72.0188
pattern_18	2	Si_18	27.9812
pattern_19	1	Al2O3_19	71.7057
pattern_19	2	Si_19	28.2943
pattern_20	1	Al2O3_20	71.8206
pattern_20	2	Si_20	28.1794
pattern_21	1	Al2O3_21	71.8661
pattern_21	2	Si_21	28.1339
pattern_22	1	Al2O3_22	71.7973
pattern_22	2	Si_22	28.2027
pattern_23	1	Al2O3_23	72.0648
pattern_23	2	Si_23	27.9352
pattern_24	1	Al2O3_24	71.8670
pattern_24	2	Si_24	28.1330
pattern_25	1	Al2O3_25	71.9126
pattern_25	2	Si_25	28.0874
pattern_26	1	Al2O3_26	72.1073
pattern_26	2	Si_26	27.8927
pattern_27	1	Al2O3_27	72.0908
pattern_27	2	Si_27	27.9092
pattern_28	1	Al2O3_28	72.1675
pattern_28	2	Si_28	27.8325
pattern_29	1	Al2O3_29	72.1466
pattern_29	2	Si_29	27.8534
